Area;Regione;Provincia;2024_CodCom;NTN_2024_Depositi_Pert;NTN_2024_Box
Sud;Puglia;BR;D422;1;4,36
Sud;Puglia;FG;D459;0;15
Sud;Puglia;TA;D463;3;5
Sud;Puglia;BR;D508;47,75;121,48
Sud;Puglia;FG;D643;175,88;842,44
Sud;Puglia;TA;D754;2;5
Sud;Puglia;BR;D761;12,17;96,75
Sud;Puglia;LE;D851;6,5;3
Sud;Puglia;LE;D862;18;44,67
Sud;Puglia;LE;D863;21,68;26,4
Sud;Puglia;LE;D883;31,56;170,09
Sud;Puglia;TA;E036;28;70,6
Sud;Puglia;BA;E038;65,17;151,74
Sud;Puglia;BA;E047;73,88;123,08
Sud;Puglia;LE;E053;2;2,5
Sud;Puglia;LE;E061;0;4
Sud;Puglia;BA;E155;142,68;249,09
Sud;Puglia;TA;E205;26,48;88,09
Sud;Puglia;BA;E223;22,38;22
Sud;Puglia;LE;E227;2;13,75
Sud;Puglia;FG;E332;12,5;11,22
Sud;Puglia;FG;E363;1;0
Sud;Puglia;TA;E469;11,12;21,11
Sud;Puglia;BR;E471;3;17,72
Sud;Puglia;LE;E506;95,08;692,31
Sud;Puglia;TA;E537;13,25;3
Sud;Puglia;LE;E538;3;30
Sud;Puglia;FG;E549;10;79,55
Sud;Puglia;LE;E563;4;26,42
Sud;Puglia;LE;E629;10,44;45,5
Sud;Puglia;TA;E630;4;8
Sud;Puglia;BA;E645;22;25,34
Sud;Puglia;FG;E716;46,56;173,97
Sud;Puglia;LE;E815;15,48;33
Sud;Puglia;TA;E882;35,94;57,79
Sud;Puglia;FG;E885;77,42;232,82
Sud;Puglia;FG;E946;25,66;60,17
Sud;Puglia;LE;E979;5,25;8
Sud;Puglia;LE;E984;1,34;3
Sud;Puglia;TA;E986;72,5;116,17
Sud;Puglia;TA;E995;5;16
Sud;Puglia;TA;F027;61,36;95,59
Sud;Puglia;LE;F054;10,33;31
Sud;Puglia;FG;F059;10,25;24
Sud;Puglia;LE;F101;3;26,5
Sud;Puglia;LE;F109;1,33;10,89
Sud;Puglia;LE;F117;0;0
Sud;Puglia;BR;F152;23,02;79,88
Sud;Puglia;LE;F194;1;1,37
Sud;Puglia;BA;F220;8,25;27
Sud;Puglia;LE;F221;7;3,5
Sud;Puglia;BA;F262;103,2;370,49
Sud;Puglia;BA;F280;50,81;56,05
Sud;Puglia;BA;F284;142,54;311,6
Sud;Puglia;BA;F376;124,25;364,64
Sud;Puglia;TA;F531;3;7
Sud;Puglia;FG;F538;3;2
Sud;Puglia;TA;F563;3;11,67
Sud;Puglia;TA;F587;6;4,5
Sud;Puglia;LE;F604;19;43,17
Sud;Puglia;LE;F623;1;2
Sud;Puglia;FG;F631;14,89;31,98
Sud;Puglia;LE;F716;6;10
Sud;Puglia;FG;F777;0,93;4
Sud;Puglia;TA;F784;34,25;41
